File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.3.vpr,0,1247,9,0,1235,1249,1259,true,success,boogieTime=1155
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.4.vpr,0,230,0,0,230,230,230,true,success,boogieTime=223
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.5.vpr,0,229,1,0,227,230,231,true,success,boogieTime=224
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.6.vpr,0,2357,20,0,2329,2370,2373,true,success,boogieTime=2102
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.7.vpr,0,2438,4,0,2431,2441,2442,true,success,boogieTime=2151
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.8.vpr,0,226,2,0,224,226,230,true,success,boogieTime=219
DaV/viper/dafny_book_examples/Chapter_6/well-founded_order_List.vpr,0,631,5,0,626,630,638,true,success,boogieTime=584
DaV/viper/dafny_book_examples/Chapter_7/examples-7.0.vpr,0,592,0,0,592,592,592,true,success,boogieTime=558
DaV/viper/dafny_book_examples/Chapter_7/examples-7.1.vpr,0,738,4,0,733,737,744,true,success,boogieTime=670
DaV/viper/dafny_book_examples/Chapter_7/examples-7.2.vpr,0,983,7,0,974,984,993,true,success,boogieTime=915
DaV/viper/dafny_book_examples/Chapter_7/examples-7.3.vpr,0,1086,11,1,1077,1080,1103,true,success,boogieTime=976
DaV/viper/dafny_book_examples/Chapter_7/examples-7.4.vpr,0,1528,8,0,1517,1532,1536,true,success,boogieTime=1374
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.0.vpr,0,654,4,0,650,651,661,true,success,boogieTime=605
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.1.vpr,0,1004,4,0,998,1006,1008,true,success,boogieTime=894
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.2.vpr,0,1191,6,0,1185,1189,1201,true,success,boogieTime=1088
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.3.vpr,0,230,0,0,230,230,231,true,success,boogieTime=224
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.4.vpr,0,228,1,0,227,229,229,true,success,boogieTime=223
DaV/viper/dafny_book_examples/Chapter_7/well-founded_order_Unary.vpr,0,595,1,0,594,595,598,true,success,boogieTime=559
DaV/viper/dafny_book_examples/Chapter_8/examples-8.0.vpr,0,1446,2,0,1444,1446,1450,true,success,boogieTime=1288
DaV/viper/dafny_book_examples/Chapter_8/examples-8.1.vpr,0,1894,15,0,1873,1900,1909,true,success,boogieTime=1709
DaV/viper/dafny_book_examples/Chapter_8/examples-8.2.vpr,0,2964,5,0,2957,2968,2968,true,success,boogieTime=2567
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.0.vpr,0,1533,2,0,1530,1532,1537,true,success,boogieTime=1359
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.1.vpr,0,229,1,0,227,230,230,true,success,boogieTime=224
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.2.vpr,0,4751,1,0,4749,4751,4753,true,success,boogieTime=4069
DaV/viper/dafny_book_examples/definitions.vpr,0,433,1,0,432,433,436,true,success,boogieTime=424
Go/gobra/gobra_test_suite/regressions/examples/evaluation/binary_search_tree.gobra.vpr,0,6988,182,2,6735,7077,7154,true,success,boogieTime=6712
Go/gobra/gobra_test_suite/regressions/examples/evaluation/binary_tree.gobra.vpr,0,1388,17,1,1368,1386,1411,true,success,boogieTime=1253
Go/gobra/gobra_test_suite/regressions/examples/evaluation/dutchflag.gobra.vpr,0,813,5,0,810,810,821,true,success,boogieTime=682
