File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
Vi/viper/all/third_party/stefan_recent/testThreadInheritanceReal.vpr,0,244,5,2,239,243,252,true,success,QPs=0;SCcomps=0;methods=29;postBranches=2;proverWarnings=0
Vi/viper/all/third_party/stefan_recent/testTreeWand.vpr,0,12270,15,0,12253,12267,12290,true,success,QPs=0;SCcomps=0;methods=6;postBranches=0;proverWarnings=0
Vi/viper/all/third_party/stefan_recent/testTreeWandE1.vpr,1,12249,65,0,12184,12226,12338,true,420.12-assert.failed:assertion.false,QPs=0;SCcomps=30;methods=6;postBranches=0;proverWarnings=0
Vi/viper/all/third_party/stefan_recent/testTreeWandE2.vpr,1,12178,8,0,12166,12183,12186,true,466.12-assert.failed:assertion.false,QPs=0;SCcomps=576;methods=6;postBranches=0;proverWarnings=0
Vi/viper/examples/binary-search/binary-search-array.vpr,0,277,8,2,268,274,289,true,success,QPs=3;SCcomps=0;methods=1;postBranches=1;proverWarnings=0
Vi/viper/examples/binary-search/binary-search-seq.vpr,0,185,7,3,176,186,195,true,success,QPs=0;SCcomps=0;methods=1;postBranches=1;proverWarnings=0
Vi/viper/examples/graph-copy/graph-copy.vpr,0,652,37,5,603,658,695,true,success,QPs=16;SCcomps=0;methods=2;postBranches=2;proverWarnings=0
Vi/viper/examples/graph-marking/graph-marking.vpr,1,766,14,1,749,767,784,true,85.9-assert.failed:assertion.false,QPs=21;SCcomps=0;methods=3;postBranches=6;proverWarnings=0
Vi/viper/examples/longest-common-prefix/longest-common-prefix.vpr,0,255,2,0,252,256,258,true,success,QPs=3;SCcomps=0;methods=1;postBranches=1;proverWarnings=0
Vi/viper/examples/max_array/max-array-elimination.vpr,0,361,17,4,337,373,374,true,success,QPs=5;SCcomps=0;methods=2;postBranches=3;proverWarnings=0
Vi/viper/examples/max_array/max-array-standard.vpr,0,296,11,3,281,302,307,true,success,QPs=5;SCcomps=0;methods=2;postBranches=3;proverWarnings=0
Vi/viper/examples/parallel-array-replace/parallel-array-replace.vpr,0,307,2,0,304,307,310,true,success,QPs=7;SCcomps=0;methods=2;postBranches=4;proverWarnings=0
Vi/viper/examples/quickselect/arrays_quickselect_rec.vpr,0,1001,35,3,961,996,1048,true,success,QPs=12;SCcomps=0;methods=4;postBranches=11;proverWarnings=0
Vi/viper/examples/quickselect/arrays_quickselect_rec_index-shifting.vpr,0,1150,11,0,1142,1143,1167,true,success,QPs=12;SCcomps=0;methods=4;postBranches=11;proverWarnings=0
Vi/viper/examples/tree-delete-min/tree_delete_min.vpr,0,344,14,4,325,351,358,true,success,QPs=0;SCcomps=9;methods=1;postBranches=2;proverWarnings=0
Vi/viper/examples/vmcai2016/arraylist-quantified-permissions.vpr,0,1545,70,4,1452,1560,1623,true,success,QPs=11;SCcomps=2;methods=3;postBranches=5;proverWarnings=0
Vi/viper/examples/vmcai2016/encoding-adts.vpr,1,166,1,0,165,167,168,true,114.14-assert.failed:assertion.false,QPs=0;SCcomps=0;methods=3;postBranches=3;proverWarnings=0
Vi/viper/examples/vmcai2016/linked-list-predicates-with-wands.vpr,0,1562,23,1,1540,1553,1595,true,success,QPs=0;SCcomps=11;methods=4;postBranches=7;proverWarnings=0
Vi/viper/examples/vmcai2016/linked-list-predicates.vpr,0,1492,2,0,1489,1493,1496,true,success,QPs=0;SCcomps=28;methods=5;postBranches=12;proverWarnings=0
Vi/viper/quantifiedpermissions/misc/dutch-flag.vpr,0,385,1,0,383,386,387,true,success,QPs=3;SCcomps=0;methods=1;postBranches=1;proverWarnings=0
